S.No,Brand,Model,Screen_Size,Color,Hard_disk,CPU,RAM,OS,Special_features,Graphics,Graphics_Co-Processor,CPU_speed,Rating, Price ,Sale Product Count, Total Sales ,Total Stock
1,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,783.99 ",14," $24,975.86 ",95
2,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $449.00 ,60," $26,940.00 ",394
3,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,N/A,1.8 GHz,5, $999.99 ,24," $23,999.76 ",415
4,Apple,MacBook Air,13.3 Inches,Silver,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard,Integrated,N/A,N/A,4.8," $3,423.99 ",60," $2,05,439.40 ",405
5,Apple,MacBook Air,15.3 Inches,Midnight,256 GB,Unknown,8 GB,Mac OS,N/A,Integrated,N/A,N/A,4.8, $699.00 ,33," $23,067.00 ",143
6,Acer,A315-24P-R7VH,15.6 Inches,Silver,128 GB,Ryzen 3,8 GB,Windows 11 S,Backlit Keyboard,Integrated,N/A,N/A,4.5," $1,599.00 ",37," $59,163.00 ",420
7,Apple,MacBook Pro,13.3 Inches,Space Gray,256 GB,Unknown,8 GB,Mac OS,Backlit Keyboard,Integrated,N/A,N/A,4.7," $1,314.99 ",59," $77,584.41 ",250
8,Acer,CB315-3HT,15.6 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Support Stylus,Integrated,N/A,N/A,4.4, $799.00 ,47," $37,553.00 ",183
9,ASUS,ROG Strix G16,16 Inches,Eclipse Gray,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,N/A,N/A,4.4, $899.99 ,26," $23,399.74 ",148
10,acer,A515-56-347N,15.6 Inches,Silver,128 GB,Core I3 1115G4,8 GB,Windows 11 S,Amazon Alexa,Integrated,N/A,N/A,4.3," $1,037.99 ",46," $47,747.54 ",291
11,acer,AN515-58-57Y8,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,N/A,N/A,4.4, $750.74 ,47," $35,284.78 ",223
12,HP,Notebook,14 Inches,Grey,1 TB,Ryzen 3 3250U,16 GB,Windows 11,Anti Glare Coating,Integrated,N/A,N/A,4.4," $1,689.00 ",59," $99,651.00 ",519
13,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5," $1,077.24 ",16," $17,235.84 ",472
14,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4," $1,699.00 ",30," $50,970.00 ",427
15,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $1,850.52 ",14," $25,907.28 ",275
16,acer,Nitro 17,17.3 Inches,Black,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,N/A,N/A,4.4," $1,531.28 ",39," $59,719.92 ",316
17,HP,hp laptop,15.6 Inches,N/A,1 TB,Intel Core i3,16 GB,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,N/A,4.2," $1,799.95 ",17," $30,599.15 ",179
18,Gateway,N/A,11.6 Inches,Blue,64 GB,Celeron N4020,4 GB,Windows 10 S,N/A,Integrated,Intel,1.1 GHz,4, $999.99 ,26," $25,999.74 ",247
19,ASUS,FX506HF-ES51,15.6 Inches,Graphite Black,512 GB,Core i5,8 GB,Windows 11 Home,Backlit Keyboard,Dedicated,N/A,N/A,4.5," $2,179.05 ",37," $80,624.85 ",243
20,MSI,Thin GF63 12VE-066US,15.6 Inches,N/A,512 GB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4050,N/A,N/A,4.5, $374.99 ,55," $20,624.45 ",487
21,Lenovo,IdeaPad 3 81X800ENUS,15.6 Inches,Almond,256 GB,Core i3,20 GB,Windows 11,Backlit Keyboard,Integrated,N/A,N/A,4.3, $639.99 ,23," $14,719.77 ",181
22,Lenovo,IdeaPad Gaming 3,15.6 Inches,Onyx Grey,256 GB,Ryzen 5,8 GB,Windows 11 Home,Anti Glare Coating,Dedicated,N/A,N/A,4.3, $84.54 ,49," $4,142.46 ",348
23,ASUS,ROG Strix G16,16 Inches,Eclipse Gray,1 TB,Intel Core i9,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,N/A,N/A,4.5, $589.99 ,50," $29,499.50 ",190
24,HP,Chromebook 14a-na0226nr,14 Inches,Mineral Silver,64,Celeron,4 GB,Chrome OS,Anti-Glare,Integrated,N/A,N/A,4.4," $2,255.92 ",37," $83,469.04 ",408
25,HP,TPN-I139_320M3AV,17.3 Inches,Silver,1 TB,Core i3 Family,32 GB,Windows 11 Home,HD Audio,Integrated,N/A,N/A,4.6," $1,102.99 ",58," $63,973.42 ",411
26,HP,i5 12th Gen 15-dy5399nr,15.6 Inches,Silver,512 GB,Core i5,16 GB,Windows 11 Home,Micro-edge Bezel,Integrated,N/A,N/A,4.3," $1,499.99 ",34," $50,999.66 ",367
27,ASUS,ROG Strix G16,16 Inches,Eclipse Gray,N/A,Core i9,32 GB,Windows 11 Pro,N/A,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,4.3, $858.98 ,38," $32,641.24 ",355
28,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $389.99 ,24," $9,359.76 ",331
29,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,N/A,Integrated,Intel,N/A,0," $3,785.54 ",29," $1,09,780.66 ",174
30,ROKC,N/A,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,N/A,Integrated,Intel,1.2 GHz,0," $1,669.00 ",17," $28,373.00 ",357
31,HP,N/A,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,N/A,4.5, $999.99 ,22," $21,999.78 ",378
32,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,N/A,Intel Core i9,32 GB,Windows 11 Home,N/A,Dedicated,N/A,1.8 GHz,5," $1,698.49 ",15," $25,477.35 ",384
33,Lenovo,IdeaPad,14 Inches,Grey,1 TB,Core i3 Family,20 GB,Windows 11 Home,Dolby,Integrated,N/A,N/A,4.3, $639.99 ,64," $40,959.36 ",194
34,HP,HP Chromebook,14 Inches,Gray,64 GB,Celeron N,4 GB,Chrome OS,N/A,Integrated,Intel UHD Graphics 600,N/A,3.8," $2,539.99 ",16," $40,639.84 ",337
35,Lenovo,Ideapad 3i,15.6 Inches,Arctic Grey,512 GB,Core i5,8 GB,Windows 11 Pro,Anti Glare Coating,Integrated,N/A,N/A,4.5, $589.99 ,31," $18,289.69 ",158
36,Dell,Inspiron,15.6 Inches,Black,1 TB,Celeron N4020,16 GB,Windows 11 Home,Anti Glare Coating,Integrated,N/A,N/A,4.1," $2,738.99 ",29," $79,430.71 ",235
37,acer,CP314-1H-P1Q5,14 Inches,Silver,128 GB,Pentium,8 GB,Chrome OS,N/A,Integrated,Intel UHD Graphics,N/A,4.3, $999.99 ,42," $41,999.58 ",416
38,MSI,Katana 15 B13VGK-484US,15.6 Inches,N/A,1 TB,Core i7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 4070,NVIDIA GeForce RTX 4070,N/A,4.3," $1,885.99 ",56," $1,05,615.44 ",313
39,Lenovo,IdeaPad 3,14 Inches,Gray,128 GB,Core i3 Family,8 GB,Windows 11 S,"Dolby,Narrow Bezel",Integrated,N/A,N/A,4.5," $1,406.04 ",57," $80,144.28 ",204
40,ASUS,ASUS Vivobook Go 15,15.6 Inches,Star Black,64 GB,Celeron,4 GB,Windows 11 S,Thin-bezel,Integrated,N/A,N/A,4.1, $589.99 ,54," $31,859.46 ",444
41,HP,HP Laptop 15-ef2024nr,15 Inches,Natural silver,256 GB,Ryzen 3,8 GB,Windows 11 Home,N/A,Integrated,N/A,N/A,4.5, $999.99 ,13," $12,999.87 ",494
42,ROKC,N/A,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,5," $3,299.00 ",34," $1,12,166.00 ",329
43,HP,N/A,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,N/A,Integrated,Intel,1.1 GHz,4.4," $1,450.77 ",32," $46,424.64 ",116
44,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,N/A,Integrated,Intel,N/A,0, $57.99 ,35," $2,029.65 ",371
45,ASUS,UX5304VA-XS76T,13.3 Inches,Gray,1 TB,Core i7,32 GB,Windows 11 Pro,Dolby,Integrated,N/A,N/A,4.3, $765.75 ,58," $44,413.50 ",268
46,ASUS,ROG Strix G15,15.6 Inches,Eclipse Gray,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,N/A,N/A,4.6," $1,068.99 ",42," $44,897.58 ",163
47,Lenovo,IdeaPad 3,15.6 Inches,Blue,64 GB,Celeron P4500,8 GB,Chrome OS,Narrow,Integrated,N/A,N/A,4.2, $749.99 ,63," $47,249.37 ",221
48,acer,"2023 Newest Acer 15.6"" Chromebook",15.6 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Anti-glare,Integrated,N/A,N/A,4.2, $429.00 ,15," $6,435.00 ",411
49,ASUS,Chromebook C425 Clamshell,14 Inches,Silver,128 GB,Celeron N4020,4 GB,Chrome OS,"Anti-glare,Ultra-narrow Bezel",Integrated,N/A,N/A,4.3, $639.99 ,49," $31,359.51 ",227
